행정동명,집계구코드,위도,경도,집계구별_물동량,가중치,총가구수,총인구수
가양1동,1.11608E+13,37.568229098966675,126.84008588681154,292,0.004339859,2108,2385
가양1동,1.11608E+13,37.56747980079227,126.8271024174248,259,0.003850374,1901,2116
가양1동,1.11608E+13,37.560009888122785,126.82846405108145,227,0.003369987,1645,1852
가양1동,1.11608E+13,37.564929390868926,126.83982740097672,213,0.003168006,1566,1741
가양1동,1.11608E+13,37.56892106,126.82580573794742,200,0.002967845,1448,1631
우장산동,1.11607E+13,37.544756112572855,126.84302411946346,138,0.002048923,522,1126
화곡본동,1.11606E+13,37.545648812837044,126.84918918318536,136,0.00201435,562,1107
가양1동,1.11608E+13,37.56203042409468,126.83889713084866,128,0.001906991,926,1048
화곡본동,1.11606E+13,37.54276639083769,126.85308908636992,122,0.00180509,459,992
등촌1동,1.11605E+13,37.55675771182181,126.8615664637635,112,0.001668617,699,917
등촌1동,1.11605E+13,37.55575256578372,126.86136324962155,107,0.001588552,603,873
가양1동,1.11608E+13,37.566216048804996,126.83358808425072,104,0.001541241,729,847
방화1동,1.11607E+13,37.56575634260136,126.81968046456201,104,0.001539422,312,846
등촌3동,1.11605E+13,37.56053691594946,126.85170165030152,104,0.00155034,473,852
등촌1동,1.11605E+13,37.55845923346894,126.85530263065938,101,0.001506668,648,828
등촌1동,1.11605E+13,37.55414059734505,126.8659449788096,100,0.001481193,512,814
화곡6동,1.11606E+13,37.55449212402465,126.85190426511829,100,0.001484832,724,816
화곡1동,1.11607E+13,37.52894197957195,126.84209881394615,99,0.001473914,608,810
화곡본동,1.11606E+13,37.54596126102049,126.85052660839156,95,0.001406587,346,773
방화2동,1.11607E+13,37.57009399353133,126.80805468042914,95,0.001413866,280,777
화곡본동,1.11606E+13,37.54035959073796,126.8458391,95,0.001406587,331,773
등촌1동,1.11605E+13,37.55917245635546,126.85715581169327,95,0.001410227,440,775
염창동,1.11605E+13,37.552979043883646,126.87124014436701,93,0.001381112,242,759
방화3동,1.11608E+13,37.577739298543236,126.81327477104215,93,0.001382932,622,760
방화3동,1.11608E+13,37.58195464071725,126.82301382268749,92,0.001370195,295,753
화곡본동,1.11606E+13,37.538830136601796,126.8501562204729,90,0.0013429,324,738
등촌1동,1.11605E+13,37.55748957457699,126.85480366893721,89,0.001321064,397,726
염창동,1.11605E+13,37.55418511974645,126.87328056434916,89,0.001321064,260,726
화곡본동,1.11606E+13,37.547467633043375,126.84630909910258,89,0.001328343,532,730
화곡본동,1.11606E+13,37.54400584076142,126.85070508534962,89,0.001328343,329,730
방화1동,1.11607E+13,37.564932183637715,126.81260233310623,87,0.00128831,349,708
방화1동,1.11607E+13,37.573341376612206,126.80519735565682,87,0.00128831,288,708
가양2동,1.11607E+13,37.56313692139768,126.85275554571363,87,0.00129013,560,709
방화3동,1.11608E+13,37.576813254888805,126.81189383280552,87,0.00129013,393,709
염창동,1.11605E+13,37.55083433294249,126.87031873987198,85,0.001255557,401,690
화곡1동,1.11607E+13,37.529863290059076,126.84573741590704,84,0.001242819,464,683
염창동,1.11605E+13,37.5514024,126.87659886894492,84,0.001248278,265,686
염창동,1.11605E+13,37.55151059610349,126.87057923164113,84,0.001248278,218,686
등촌1동,1.11605E+13,37.55667718,126.85653472654427,84,0.001241,532,682
방화1동,1.11607E+13,37.57478298689057,126.80978779821156,84,0.001248278,253,686
등촌2동,1.11605E+13,37.54299503479223,126.85886592869032,83,0.001230082,273,676
가양1동,1.11608E+13,37.57129225217588,126.82622697093242,83,0.00123918,322,681
발산1동,1.11607E+13,37.54949102032953,126.83324753811486,82,0.001217344,233,669
우장산동,1.11607E+13,37.554180395534395,126.84018459616428,82,0.001222803,245,672
화곡6동,1.11606E+13,37.550655546947844,126.84827040271688,82,0.001222803,598,672
화곡본동,1.11606E+13,37.54185003683223,126.84751906000781,82,0.001215525,305,668
화곡1동,1.11607E+13,37.53670296186872,126.83841040841175,82,0.001217344,297,669
등촌1동,1.11605E+13,37.55613623857807,126.86258487557872,81,0.001208246,235,664
방화1동,1.11607E+13,37.56821081327264,126.81869816205949,81,0.001202787,231,661
방화1동,1.11607E+13,37.571626571340836,126.81898271941037,81,0.001197328,260,658
등촌1동,1.11605E+13,37.55234568912705,126.86315897536791,81,0.001200967,472,660
염창동,1.11605E+13,37.54888359263604,126.87214477850806,81,0.001202787,252,661
방화2동,1.11607E+13,37.57001054954758,126.80938588779411,81,0.001197328,277,658
등촌2동,1.11605E+13,37.54181377413599,126.8629076,81,0.001202787,220,661
우장산동,1.11607E+13,37.55627169701083,126.84443361553413,81,0.001195508,238,657
화곡3동,1.11606E+13,37.545974312391714,126.83613448560614,80,0.001182771,480,650
등촌2동,1.11605E+13,37.550498891987345,126.86205344975927,80,0.001182771,354,650
염창동,1.11605E+13,37.55528502,126.8666767320383,80,0.001190049,402,654
등촌1동,1.11605E+13,37.556138665330664,126.85332907448452,80,0.001193689,570,656
화곡8동,1.11606E+13,37.53220933902704,126.85057793360399,80,0.00118823,269,653
염창동,1.11605E+13,37.548236544109045,126.87780680968244,80,0.001180951,512,649
등촌1동,1.11605E+13,37.55282418995693,126.8647565673474,80,0.001190049,357,654
염창동,1.11605E+13,37.552718054511736,126.8692696468216,79,0.001173673,231,645
등촌1동,1.11605E+13,37.55493255852998,126.86464246837744,79,0.001170033,238,643
우장산동,1.11607E+13,37.55395558014557,126.83852124128192,79,0.001166394,250,641
발산1동,1.11607E+13,37.5563939,126.8246840086842,79,0.001179132,185,648
화곡1동,1.11607E+13,37.52908908914774,126.84573738627628,79,0.001170033,378,643
염창동,1.11605E+13,37.55009499295442,126.87766015067399,79,0.001166394,229,641
화곡본동,1.11606E+13,37.539304547370996,126.84912853857388,78,0.001153656,285,634
발산1동,1.11607E+13,37.553276333856786,126.83248297357487,78,0.001162755,249,639
화곡3동,1.11606E+13,37.546368580082074,126.83503342025233,78,0.001164574,262,640
화곡8동,1.11606E+13,37.536144197798166,126.8455847092585,78,0.001162755,311,639
발산1동,1.11607E+13,37.556591072887656,126.82575325888382,78,0.001153656,235,634
염창동,1.11605E+13,37.55525036745919,126.87284065242024,77,0.001140919,197,627
가양1동,1.11608E+13,37.57562407768468,126.83811334194021,77,0.001140919,234,627
가양1동,1.11608E+13,37.56810573277072,126.82386844072872,77,0.00113728,244,625
등촌3동,1.11605E+13,37.56346885115833,126.84751584211897,77,0.001150017,196,632
가양3동,1.11607E+13,37.56231929024098,126.86094094638882,77,0.001140919,449,627
